temp, pressure
160.20806241872563, 0.00000144650733852165
162.2886866059818, 0.0000024253227417603553
164.369310793238, 0.0000040664780917818624
167.49024707412224, 0.000007903065678861364
170.61118335500652, 0.000015359346765108984
173.7321196358908, 0.000029850382451187355
176.85305591677505, 0.0000580132310383339
179.9739921976593, 0.00011274679582449473
184.13524057217165, 0.0002191196687578152
188.296488946684, 0.0004258518291843423
191.4174252275683, 0.0008276289456246352
195.57867360208064, 0.001550175117335772
199.739921976593, 0.0030127140708811704
203.90117035110535, 0.005855110155867244
209.10273081924578, 0.011379212939153163
213.26397919375813, 0.02211512399725491
218.4655396618986, 0.04142232472483898
223.66710013003905, 0.08050291812295989
228.86866059817947, 0.15078450458610526
234.0702210663199, 0.2930446976972144
240.31209362808846, 0.5488819609789677
246.55396618985696, 1.0280732238308659
252.79583875162552, 1.9980263085725507
259.037711313394, 3.7423662907219826
266.31989596879066, 7.009570091165625
273.6020806241873, 12.65331759388943
282.9648894668401, 23.70006292009329
292.32769830949286, 42.78214201767617
301.69050715214564, 77.22813571388646
