pressure temperature CH4 H2S 
21.4062 187.775 0.0397015 0.000724928 
20.8646 186.195 0.0397015 0.000724928 
20.3366 184.614 0.0397015 0.000724928 
19.8221 183.106 0.0397015 0.000724928 
19.3206 181.731 0.0397015 0.000724928 
18.8317 180.356 0.0397015 0.000724928 
18.3553 178.981 0.0397015 0.000724928 
17.8908 177.607 0.0397015 0.000724928 
17.4382 176.232 0.0397015 0.000724928 
16.9969 174.857 0.0397015 0.000724928 
16.5669 173.482 0.0397015 0.000724928 
16.1477 172.107 0.0397015 0.000724928 
15.7391 170.733 0.0397015 0.000724928 
15.3409 169.358 0.0397017 0.000719104 
14.9528 167.983 0.0397048 0.000641853 
14.5744 166.608 0.0397076 0.00057169 
14.2057 165.234 0.0397101 0.000508125 
13.8463 163.859 0.0397124 0.000450683 
13.4959 162.484 0.0397145 0.0003989 
13.1545 161.109 0.0397163 0.000352333 
12.8216 159.734 0.039718 0.000310559 
12.4972 158.36 0.0397195 0.000273174 
12.181 156.985 0.0397208 0.000239795 
11.8728 155.61 0.039722 0.000210062 
11.5724 154.235 0.039723 0.000183639 
11.2796 152.861 0.039724 0.000160211 
10.9942 151.486 0.0397248 0.000139486 
10.7161 150.111 0.0397255 0.000121194 
10.4449 148.736 0.0397261 0.000105084 
10.1807 147.362 0.0397267 9.09289e-05 
9.92307 146.028 0.0397272 7.85184e-05 
9.672 144.789 0.0397276 6.76616e-05 
9.42729 143.55 0.039728 5.8185e-05 
9.18876 142.31 0.0397283 4.99313e-05 
8.95627 141.071 0.0397286 4.27586e-05 
8.72967 139.863 0.0397289 3.6539e-05 
8.50879 138.662 0.0397291 3.11577e-05 
8.29351 137.461 0.0397293 2.65121e-05 
8.08367 136.259 0.0397294 2.25105e-05 
7.87914 135.071 0.0397296 1.90713e-05 
7.67978 133.912 0.0397297 1.61221e-05 
7.48547 132.754 0.0397298 1.35988e-05 
7.29608 131.595 0.0397299 1.14449e-05 
7.11148 130.437 0.0397299 9.61029e-06 
6.93155 129.301 0.03973 8.05143e-06 
6.75615 128.171 0.0397301 6.7298e-06 
6.58521 127.041 0.0397301 5.61209e-06 
6.4186 125.911 0.0397301 4.66903e-06 
6.2562 124.791 0.0397302 3.87519e-06 
6.0979 123.692 0.0397302 3.2086e-06 
5.94362 122.592 0.0397302 2.65023e-06 
5.79324 121.493 0.0397302 2.18365e-06 
5.64666 120.394 0.0397302 1.79474e-06 
5.50379 119.32 0.0397303 1.47139e-06 
5.36453 118.253 0.0397303 1.20324e-06 
5.2288 117.185 0.0397303 9.81429e-07 
5.09651 116.117 0.0397303 7.98432e-07 
4.96756 115.06 0.0397303 6.4785e-07 
4.84187 114.024 0.0397303 5.24274e-07 
4.71936 112.988 0.0397303 4.2313e-07 
4.59996 111.952 0.0397303 3.40573e-07 
4.48357 110.917 0.0397303 2.73372e-07 
4.37013 109.909 0.0397303 2.18823e-07 
4.25956 108.904 0.0397303 1.74667e-07 
4.15178 107.9 0.0397303 1.39027e-07 
4.04674 106.896 0.0397303 1.10343e-07 
3.94435 105.903 0.0397303 8.73232e-08 
3.84455 104.931 0.0397303 6.8904e-08 
3.74728 103.958 0.0397303 5.42095e-08 
3.65247 102.986 0.0397303 4.25214e-08 
3.56005 102.014 0.0397303 3.32529e-08 
3.46998 101.07 0.0397303 2.59256e-08 
3.38218 100.129 0.0397303 2.01506e-08 
3.29661 99.1886 0.0397303 1.79883e-08 
3.2132 98.2478 0.0383089 1.60284e-08 
3.1319 97.3182 0.0372062 1.44746e-08 
3.05266 96.4093 0.0361085 1.30525e-08 
2.97542 95.5004 0.0350206 1.17525e-08 
2.90014 94.5914 0.0339427 1.05655e-08 
2.82676 93.6825 0.032875 9.48306e-09 
2.75524 92.8014 0.0318178 8.49719e-09 
2.68552 91.9231 0.0307714 7.60042e-09 
2.61757 91.0448 0.0297362 6.78602e-09 
2.55135 90.1665 0.0287124 6.04743e-09 
2.48679 89.2997 0.0277002 5.3786e-09 
2.42387 88.4528 0.0267002 4.77392e-09 
2.36254 87.606 0.0257124 4.22814e-09 
2.30277 86.7592 0.0247375 3.73642e-09 
2.24451 85.9124 0.0237756 3.2942e-09 
2.18772 85.3794 0.0228272 2.89726e-09 
2.13236 84.8731 0.0218927 2.54169e-09 
2.07841 84.3668 0.0209725 2.22385e-09 
2.02582 83.8605 0.020067 1.94037e-09 
1.97457 83.3901 0.0191766 1.68814e-09 
1.92461 82.9558 0.0183019 1.46425e-09 
1.87591 82.5215 0.0174433 1.26604e-09 
1.82845 82.0872 0.0166012 1.09104e-09 
1.78219 81.6529 0.0157763 9.36973e-10 
1.73709 81.1998 0.0149689 8.01751e-10 
1.69314 80.7458 0.0141796 6.83444e-10 
1.6503 80.2918 0.013409 5.80288e-10 
1.60855 79.8378 0.0126577 4.90658e-10 
1.56785 79.377 0.0119261 4.13073e-10 
1.52818 78.9005 0.0112148 3.4618e-10 
1.48952 78.4241 0.0105243 2.88745e-10 
1.45183 77.9476 0.00985534 2.39646e-10 
1.41509 77.4712 0.0092083 1.97869e-10 
1.37929 76.9721 0.00858374 1.62495e-10 
1.34439 76.4694 0.00798217 1.32695e-10 
1.31038 75.9667 0.00740404 1.07726e-10 
1.27722 75.464 0.0068498 8.6926e-11 
1.24491 74.9482 0.00631982 6.96993e-11 
1.21341 74.4176 0.00581442 5.55221e-11 
1.18271 73.887 0.00533388 4.39303e-11 
1.15278 73.3564 0.00487836 3.45168e-11 
1.12362 72.8258 0.00444796 2.69264e-11 
1.09519 72.2531 0.00404266 2.08504e-11 
1.06748 71.6744 0.0036624 1.60245e-11 
1.04047 71.0957 0.00330692 1.22212e-11 
1.01414 70.5171 0.00297591 9.24794e-12 
0.988482 70.0294 0.0026689 6.94276e-12 
0.963471 69.6519 0.00250234 5.77877e-12 
0.939094 69.2744 0.00234386 4.79896e-12 
0.915334 68.8969 0.00219324 3.97605e-12 
0.892174 68.5194 0.00205021 3.28652e-12 
0.869601 68.1625 0.00192445 2.74277e-12 
0.847599 67.8068 0.00180523 2.28553e-12 
0.826153 67.451 0.0016918 1.90034e-12 
0.80525 67.0953 0.00158397 1.57655e-12 
0.784876 66.7286 0.00147734 1.29632e-12 
0.765017 66.3486 0.00137159 1.05463e-12 
0.745661 65.9686 0.00127194 8.55719e-13 
0.726795 65.5885 0.00117816 6.92435e-13 
0.708406 65.2085 0.00108999 5.58761e-13 
0.690482 64.7866 0.000995565 4.37662e-13 
0.673012 64.3637 0.000907694 3.41385e-13 
0.655984 63.9408 0.000826287 2.65323e-13 
0.639386 63.5179 0.000750983 2.05447e-13 
0.623209 63.0854 0.000679536 1.5746e-13 
0.607441 62.6428 0.000611975 1.1936e-13 
0.592071 62.2002 0.00055011 9.00896e-14 
0.577091 61.7576 0.000493562 6.76988e-14 
0.56249 61.315 0.000441972 5.06447e-14 
0.548258 60.9122 0.000399945 3.88207e-14 
0.534386 60.5107 0.000361472 2.96726e-14 
0.520865 60.1092 0.000326146 2.25911e-14 
0.507687 59.7077 0.000293765 1.71309e-14 
0.494841 59.4132 0.000273636 1.40439e-14 
0.482321 59.2335 0.000264536 1.25507e-14 
0.470118 59.0537 0.000255646 1.12069e-14 
0.458223 58.8739 0.000246964 9.9984e-15 
0.446629 58.6943 0.000238498 8.91334e-15 
0.435328 58.5177 0.000230477 7.95849e-15 
0.424314 58.3411 0.000222646 7.10001e-15 
0.413578 58.1645 0.000215003 6.32875e-15 
0.403114 57.988 0.000207545 5.63647e-15 
0.392914 57.81 0.000200176 5.00997e-15 
0.382973 57.6307 0.000192902 4.44426e-15 
0.373283 57.4514 0.00018582 3.93884e-15 
0.363838 57.2721 0.000178928 3.4877e-15 
0.354633 57.0929 0.00017223 3.0857e-15 
0.34566 56.9167 0.000165897 2.73437e-15 
0.336914 56.7405 0.000159733 2.42084e-15 
0.32839 56.5644 0.000153738 2.14129e-15 
0.320081 56.3882 0.000147909 1.89227e-15 
0.311982 56.255 0.000144512 1.73318e-15 
0.304089 56.165 0.000143426 1.64635e-15 
0.296395 56.0749 0.000142333 1.56349e-15 
0.288896 55.9849 0.000141233 1.48443e-15 
0.281586 55.895 0.000140133 1.40916e-15 
0.274462 55.8069 0.000139126 1.33959e-15 
0.267517 55.7189 0.000138111 1.27315e-15 
0.260749 55.6309 0.00013709 1.20971e-15 
0.254151 55.5429 0.000136062 1.14915e-15 
0.247721 55.4538 0.000134973 1.09034e-15 
0.241453 55.3637 0.000133828 1.03338e-15 
0.235344 55.2736 0.000132679 9.79143e-16 
0.229389 55.1836 0.000131524 9.27511e-16 
0.223586 55.0935 0.000130363 8.78351e-16 
0.217929 55.003 0.000129181 8.31314e-16 
0.212415 54.9126 0.000127994 7.86589e-16 
0.20704 54.8221 0.000126804 7.44072e-16 
0.201802 54.7317 0.000125611 7.03664e-16 
0.196696 54.6714 0.000125887 6.837e-16 
0.191719 54.6274 0.00012696 6.74079e-16 
0.186868 54.5834 0.000128038 6.64553e-16 
0.18214 54.5395 0.000129123 6.5512e-16 
0.177532 54.4956 0.000130218 6.45837e-16 
0.17304 54.4526 0.000131364 6.37154e-16 
0.168662 54.4096 0.000132516 6.28547e-16 
0.164394 54.3666 0.000133675 6.20022e-16 
0.160235 54.3236 0.00013484 6.11572e-16 
0.156181 54.2898 0.000136511 6.08345e-16 
0.152229 54.2673 0.000138814 6.11381e-16 
0.148377 54.2448 0.000141156 6.1442e-16 
0.144623 54.2223 0.000143536 6.17466e-16 
0.140964 54.1995 0.000145941 6.20384e-16 
0.137397 54.154 0.000147049 6.10337e-16 
0.133921 54.1084 0.00014816 6.0041e-16 
0.130533 54.0628 0.000149275 5.90603e-16 
0.12723 54.0173 0.000150394 5.80914e-16 
0.124011 53.973 0.000151593 5.72019e-16 
0.120873 53.9295 0.000152846 5.6363e-16 
0.117815 53.8859 0.000154104 5.55328e-16 
0.114834 53.8424 0.000155368 5.47113e-16 
0.111928 53.8 0.000156707 5.39532e-16 
0.109096 53.8 0.000160775 5.53537e-16 
0.106336 53.8 0.000164948 5.67906e-16 
0.103646 53.8 0.00016923 5.82648e-16 
0.101023 53.8 0.000173623 5.97772e-16 
0.0984672 53.8134 0.000179091 6.20999e-16 
0.0959759 53.8356 0.000185387 6.50454e-16 
0.0935475 53.8578 0.000191902 6.81293e-16 
0.0911806 53.88 0.000198645 7.13584e-16 
0.0888736 53.9022 0.000205623 7.47396e-16 
0.086625 53.9245 0.000212852 7.82855e-16 
0.0844332 53.9468 0.000220334 8.19983e-16 
0.0822969 53.9691 0.000228077 8.5886e-16 
0.0802147 53.9914 0.000236091 8.99563e-16 
0.0781851 54.0137 0.000244384 9.4218e-16 
0.0762069 54.036 0.000252966 9.86794e-16 
0.0742788 54.0583 0.000261848 1.03351e-15 
0.0723994 54.0806 0.000271041 1.08242e-15 
0.0705675 54.1057 0.00028087 1.13659e-15 
0.068782 54.1501 0.000293288 1.21483e-15 
0.0670418 54.1945 0.000306244 1.29836e-15 
0.0653455 54.2389 0.000319764 1.38754e-15 
0.0636922 54.2832 0.000333872 1.48276e-15 
0.0620807 54.3276 0.000348592 1.5844e-15 
0.0605099 54.372 0.00036395 1.69289e-15 
0.0589789 54.4164 0.000379974 1.8087e-15 
0.0574867 54.4608 0.000396692 1.9323e-15 
0.0560321 54.5118 0.000415204 2.0766e-15 
0.0546144 54.6125 0.000443094 2.33452e-15 
0.0532326 54.7132 0.000472788 2.6236e-15 
0.0518857 54.814 0.000504401 2.94749e-15 
0.0505729 54.9147 0.000538048 3.31025e-15 
