x, y
0.4948853669343171, 0.5525640634390024
0.49911817116712137, 0.5525640634390024
0.5028218748708251, 0.5410256019005409
0.5059964780454282, 0.5179486788236178
0.5086419806909309, 0.4717948326697717
0.510758382807333, 0.49487175574669473
0.5123456843946346, 0.5256409865159255
0.5144620865110368, 0.5448717557466948
0.5176366896856399, 0.5410256019005409
0.519753091802042, 0.5256409865159255
0.5245149965639467, 0.5179486788236178
0.5245149965639467, 0.5179486788236178
0.5276895997385499, 0.5294871403620793
0.5303351023840526, 0.5179486788236178
0.5319224039713542, 0.4910256019005409
0.5335097055586557, 0.4679486788236178
0.5350970071459573, 0.42948714036207936
0.5356261076750579, 0.3987179095928486
0.5366843087332589, 0.37179483266977165
0.5372134092623595, 0.3410256019005409
0.5388007108496611, 0.30641021728515627
0.5398589119078621, 0.2756409865159255
0.5435626156115658, 0.24487175574669473
0.5435626156115658, 0.24487175574669473
0.5440917161406663, 0.28717944805438705
0.5456790177279679, 0.3256409865159255
0.5462081182570685, 0.3679486788236178
0.5462081182570685, 0.4179486788236178
0.5477954198443701, 0.49487175574669473
0.5499118219607722, 0.5333332942082332
0.5530864251353753, 0.5217948326697717
0.5562610283099785, 0.5102563711313102
0.5594356314845816, 0.5102563711313102
0.5626102346591848, 0.49487175574669473
0.5663139383628886, 0.4602563711313101
0.5679012399501902, 0.4179486788236178
0.5705467425956928, 0.38717944805438703
0.5726631447120949, 0.3487179095928486
0.5747795468284971, 0.29871790959284855
0.5747795468284971, 0.29871790959284855
0.6038800759290261, 0.39102560190054086
0.6054673775163277, 0.364102524977464
0.6065255785745288, 0.3294871403620793
0.6134038854528356, 0.14102560190054086
0.6181657902147404, 0.11025637113131011
0.6223985944475446, 0.12179483266977165
0.6239858960348462, 0.15641021728515625
0.6255731976221478, 0.2025640634390024
0.6266313986803489, 0.2679486788236178
0.6276895997385499, 0.32179483266977166
0.6298060018549521, 0.3679486788236178
0.6324515045004547, 0.4025640634390024
0.6361552082041584, 0.3833332942082332
0.6388007108496611, 0.3410256019005409
0.6414462134951637, 0.29871790959284855
0.6456790177279679, 0.30256406343900244
0.6488536209025711, 0.2679486788236178
0.6530864251353754, 0.22948714036207934
0.6562610283099786, 0.1833332942082332
0.6652557373046875, 0.12948714036207934
0.6689594410083912, 0.13717944805438703
0.672663144712095, 0.20641021728515627
0.6763668484157986, 0.28333329420823317
0.6795414515904018, 0.24871790959284856
0.6837742558232061, 0.2025640634390024
0.6894179894179895, 0.24487175574669473
0.6925925925925926, 0.23717944805438704
0.6957671957671958, 0.1756409865159255
0.698941798941799, 0.11025637113131011
0.7037037037037037, 0.07564098651592549
0.7074074074074075, 0.10641021728515626
0.7116402116402116, 0.14102560190054086
0.7148148148148148, 0.12948714036207934
0.716931216931217, 0.07948714036207934
0.7206349206349206, 0.05641021728515625
0.7275132275132276, 0.04487175574669471
0.735978835978836, 0.0602563711313101
0.7396825396825397, 0.09487175574669472
0.7428571428571429, 0.16410252497746394
0.7444444444444445, 0.2025640634390024
0.7544973544973546, 0.19871790959284857
0.7592592592592593, 0.15641021728515625
0.7624338624338625, 0.11025637113131011
0.7677248677248678, 0.08333329420823318
0.771957671957672, 0.07564098651592549
0.7814814814814814, 0.04487175574669471
0.7947089947089947, 0.041025601900540866
0.8084656084656086, 0.043589665339543275
0.8148148148148149, 0.06666658841646635
0.8211640211640212, 0.1205127422626202
0.8264550264550266, 0.1205127422626202
0.8312169312169313, 0.15897428072415867
0.8338624338624339, 0.10897428072415866
0.835978835978836, 0.055128126878004814
0.8407407407407408, 0.032051203801081736
0.8492063492063493, 0.04743581918569712
0.8566137566137566, 0.02435889610877404
0.8671957671957673, 0.020512742262620193
0.8756613756613757, 0.032051203801081736
0.8830687830687831, 0.0128204345703125
0.88994708994709, 0.016666588416466347
0.8994708994708995, 0.02435889610877404
