pressure temperature CH4 H2S H2 He
138.998 374.432 0.0396502 0.00124855 0.7788946635000001 0.18270368650000002 
135.481 371.62 0.0396514 0.00124859 0.7788937239 0.1827034661 
132.054 368.828 0.0396524 0.00124862 0.7788929382 0.1827032818 
128.712 366.056 0.0396534 0.00124865 0.7788921525000001 0.1827030975 
125.456 363.303 0.0396543 0.00124868 0.7788914478000001 0.1827029322 
122.282 360.569 0.0396551 0.0012487 0.778890816 0.18270278399999998 
119.188 357.854 0.0396559 0.00124873 0.7788901923000001 0.1827026377 
116.172 355.158 0.0396566 0.00124875 0.7788896415000001 0.1827025085 
113.233 352.48 0.0396572 0.00124877 0.7788891717 0.1827023983 
110.368 349.821 0.0396577 0.00124879 0.7788887829000001 0.1827023071 
107.575 347.181 0.0396582 0.0012488 0.7788883860000001 0.18270221400000003 
104.853 344.559 0.0396587 0.00124882 0.7788879972 0.1827021228 
102.2 341.955 0.0396591 0.00124883 0.7788876813000001 0.1827020487 
99.6144 339.369 0.0396594 0.00124884 0.7788874464000001 0.1827019936 
97.094 336.798 0.0396659 0.00114071 0.7787945961 0.1826802139 
94.6374 334.242 0.0396711 0.00107789 0.7787394999000001 0.18266729010000002 
92.2429 331.702 0.0396759 0.00102191 0.7786902681000001 0.1826557419 
89.909 329.177 0.0396801 0.000972503 0.77864684643 0.18264555657 
87.6342 326.669 0.0396837 0.000929339 0.7786089675900001 0.18263667141 
85.4169 324.176 0.0396869 0.000892053 0.77857617393 0.18262897907 
83.2557 321.7 0.0396896 0.000860229 0.7785482094900001 0.18262241951000002 
81.1492 319.24 0.0396919 0.000833405 0.77852461905 0.18261688595 
79.096 316.796 0.0396938 0.000811083 0.77850499923 0.18261228377 
77.0948 314.368 0.0396954 0.000792743 0.77848884783 0.18260849517 
75.1442 311.956 0.0396967 0.00077786 0.7784757396 0.1826054204 
73.2429 309.561 0.0396977 0.000765924 0.77846526144 0.18260296256 
71.3897 307.181 0.0396985 0.000756454 0.7784569427400001 0.18260101126 
69.5835 304.818 0.0396992 0.000749015 0.7784503501500001 0.18259946485 
67.8229 302.471 0.0396997 0.000743224 0.7784452544400001 0.18259826956 
66.1069 300.14 0.0397001 0.00073875 0.7784413065000001 0.1825973435 
64.4343 297.824 0.0397005 0.00073532 0.7784382042 0.1825966158 
62.804 295.524 0.0397007 0.000732705 0.7784359240500001 0.18259608095 
61.2149 293.24 0.0397009 0.000730724 0.77843415744 0.18259566655999998 
59.6661 290.971 0.039701 0.00072923 0.7784328663000001 0.1825953637 
58.1565 288.718 0.0397011 0.000728109 0.77843187729 0.18259513171 
56.685 286.48 0.0397012 0.000727271 0.77843111751 0.18259495349000002 
55.2508 284.257 0.0397013 0.000726648 0.77843053188 0.18259481612 
53.8529 282.048 0.0397014 0.000726186 0.77843007666 0.18259470934 
52.4903 279.855 0.0397014 0.000725845 0.77842980045 0.18259464455 
51.1622 277.677 0.0397014 0.000725594 0.77842959714 0.18259459686 
49.8677 275.513 0.0397014 0.00072541 0.7784294481 0.1825945619 
48.606 273.364 0.0397015 0.000725276 0.77842925856 0.18259451744 
47.3762 271.229 0.0397015 0.000725178 0.7784291791800001 0.18259449882 
46.1775 269.109 0.0397015 0.000725108 0.7784291224800001 0.18259448552 
45.0091 267.002 0.0397015 0.000725056 0.7784290803599999 0.18259447563999998 
43.8703 264.91 0.0397015 0.000725019 0.77842905039 0.18259446860999998 
42.7603 262.832 0.0397015 0.000724993 0.77842902933 0.18259446366999998 
41.6784 260.767 0.0397015 0.000724974 0.7784290139400001 0.18259446006 
40.6238 258.717 0.0397015 0.00072496 0.7784290026 0.1825944574 
39.596 256.68 0.0397015 0.000724951 0.77842899531 0.18259445569 
38.5942 254.656 0.0397015 0.000724944 0.77842898964 0.18259445436 
37.6177 252.646 0.0397015 0.000724939 0.7784289855900001 0.18259445341 
36.6659 250.649 0.0397015 0.000724936 0.77842898316 0.18259445284 
35.7382 248.665 0.0397015 0.000724933 0.77842898073 0.18259445226999999 
34.8339 246.695 0.0397015 0.000724932 0.77842897992 0.18259445208 
33.9526 244.737 0.0397015 0.000724931 0.7784289791100001 0.18259445189 
33.0935 242.793 0.0397015 0.00072493 0.7784289783 0.1825944517 
32.2562 240.861 0.0397015 0.000724929 0.77842897749 0.18259445150999998 
31.4401 238.942 0.0397015 0.000724929 0.77842897749 0.18259445150999998 
30.6446 237.035 0.0397015 0.000724929 0.77842897749 0.18259445150999998 
29.8693 235.142 0.0397015 0.000724929 0.77842897749 0.18259445150999998 
29.1135 233.26 0.0397015 0.000724928 0.77842897668 0.18259445132 
28.3769 231.391 0.0397015 0.000724928 0.77842897668 0.18259445132 
27.6589 229.534 0.0397015 0.000724928 0.77842897668 0.18259445132 
26.9591 227.689 0.0397015 0.000724928 0.77842897668 0.18259445132 
26.277 225.856 0.0397015 0.000724928 0.77842897668 0.18259445132 
25.6121 224.035 0.0397015 0.000724928 0.77842897668 0.18259445132 
24.9641 222.227 0.0397015 0.000724928 0.77842897668 0.18259445132 
24.3325 220.429 0.0397015 0.000724928 0.77842897668 0.18259445132 
23.7169 218.644 0.0397015 0.000724928 0.77842897668 0.18259445132 
23.1168 216.87 0.0397015 0.000724928 0.77842897668 0.18259445132 
22.5319 215.108 0.0397015 0.000724928 0.77842897668 0.18259445132 
21.9618 213.357 0.0397015 0.000724928 0.77842897668 0.18259445132 
21.4062 211.618 0.0397015 0.000724928 0.77842897668 0.18259445132 
20.8646 209.89 0.0397015 0.000724928 0.77842897668 0.18259445132 
20.3366 208.173 0.0397015 0.000724928 0.77842897668 0.18259445132 
19.8221 206.467 0.0397015 0.000724928 0.77842897668 0.18259445132 
19.3206 204.773 0.0397015 0.000724928 0.77842897668 0.18259445132 
18.8317 203.089 0.0397015 0.000724928 0.77842897668 0.18259445132 
18.3553 201.417 0.0397015 0.000724928 0.77842897668 0.18259445132 
17.8908 199.755 0.0397015 0.000724928 0.77842897668 0.18259445132 
17.4382 198.104 0.0397015 0.000724928 0.77842897668 0.18259445132 
16.9969 196.463 0.0397015 0.000724928 0.77842897668 0.18259445132 
16.5669 194.833 0.0397015 0.000724928 0.77842897668 0.18259445132 
16.1477 193.214 0.0397015 0.000724928 0.77842897668 0.18259445132 
15.7391 191.606 0.0397015 0.000724928 0.77842897668 0.18259445132 
15.3409 190.007 0.0397017 0.000719104 0.7784240972400001 0.18259330676000002 
14.9528 188.418 0.0397048 0.000641853 0.7783590129300001 0.18257804007 
14.5744 186.839 0.0397076 0.00057169 0.7782999129000001 0.1825641771 
14.2057 185.268 0.0397101 0.000508125 0.77824640025 0.18255162475 
13.8463 183.707 0.0397124 0.000450683 0.77819800923 0.18254027376999998 
13.4959 182.156 0.0397145 0.0003989 0.778154364 0.182530036 
13.1545 180.613 0.0397163 0.000352333 0.77811518673 0.18252084627 
12.8216 179.081 0.039718 0.000310559 0.77807997279 0.18251258621 
12.4972 177.557 0.0397195 0.000273174 0.77804847594 0.18250519806 
12.181 176.043 0.0397208 0.000239795 0.7780203859500001 0.18249860905 
11.8728 174.539 0.039722 0.000210062 0.77799533022 0.18249273178 
11.5724 173.044 0.039723 0.000183639 0.7779731175900001 0.18248752141 
11.2796 171.559 0.039724 0.000160211 0.7779533309100001 0.18248288009 
10.9942 170.083 0.0397248 0.000139486 0.7779358956600001 0.18247879034 
10.7161 168.617 0.0397255 0.000121194 0.77792051214 0.18247518186 
10.4449 167.16 0.0397261 0.000105084 0.77790697704 0.18247200696 
10.1807 165.712 0.0397267 9.09289e-05 0.777895025409 0.182469203491 
9.92307 164.274 0.0397272 7.85184e-05 0.7778845679040001 0.182466750496 
9.672 162.845 0.0397276 6.76616e-05 0.7778754498960001 0.18246461170400002 
9.42729 161.425 0.039728 5.8185e-05 0.77786744985 0.18246273515 
9.18876 160.015 0.0397283 4.99313e-05 0.777860521353 0.182461109947 
8.95627 158.614 0.0397286 4.27586e-05 0.777854468466 0.182459690134 
8.72967 157.222 0.0397289 3.6539e-05 0.7778491875900001 0.18245845141 
8.50879 155.84 0.0397291 3.11577e-05 0.777844666737 0.182457390963 
8.29351 154.467 0.0397293 2.65121e-05 0.7778407418010002 0.18245647029900003 
8.08367 153.103 0.0397294 2.25105e-05 0.7778374195050001 0.182455690995 
7.87914 151.748 0.0397296 1.90713e-05 0.777834471753 0.182454999547 
7.67978 150.402 0.0397297 1.61221e-05 0.7778320019010001 0.18245442019900002 
7.48547 149.065 0.0397298 1.35988e-05 0.777829877028 0.18245392177199998 
7.29608 147.737 0.0397299 1.14449e-05 0.7778280513690001 0.18245349353100002 
