pressure temperature CH4 H2S H2 He
9.34163e-09 301.409 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
1.37205e-08 287.56 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
2.01519e-08 274.194 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
2.95979e-08 261.489 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
4.34718e-08 249.62 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
6.38489e-08 233.073 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
9.37777e-08 222.445 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
1.37736e-07 212.368 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
2.02298e-07 202.772 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
2.97124e-07 193.589 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
4.364e-07 184.819 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
6.40959e-07 176.46 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
9.41407e-07 168.402 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
1.38268e-06 166.376 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
2.03081e-06 165.5 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
2.98274e-06 165.399 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
4.38088e-06 165.2 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
6.4344e-06 165.1 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
9.45048e-06 164.9 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
1.38803e-05 164.519 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
2.03867e-05 163.975 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
2.99428e-05 162.028 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
4.39783e-05 160.075 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
6.45929e-05 157.648 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
9.48705e-05 154.731 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.00013934 148.459 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.000204655 141.858 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.000300587 135.577 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.000441485 129.54 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.000648428 123.754 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.000952375 118.326 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.00139879 113.008 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.00205447 108.005 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.00301749 103.25 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.00443193 98.2854 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.00650937 84.6381 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.0095606 73.506 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.0140421 66.7697 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.0206242 61.3624 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.0302917 57.6649 0.00140245 1.97097e-14 0.808864015500016 0.18973353450000374 
0.0444907 55.4265 0.00074379 5.92694e-15 0.8093975301000048 0.1898586799000011 
0.0653455 54.2389 0.000319764 1.38754e-15 0.8097409911600011 0.18993924484000024 
0.0959759 53.8356 0.000185387 6.50454e-16 0.8098498365300005 0.18996477647000012 
0.140964 54.1995 0.000145941 6.20384e-16 0.8098817877900006 0.18997227121000013 
0.20704 54.8221 0.000126804 7.44072e-16 0.8098972887600007 0.18997590724000016 
0.304089 56.165 0.000143426 1.64635e-15 0.8098838249400014 0.18997274906000033 
0.446629 58.6943 0.000238498 8.91334e-15 0.8098068166200073 0.18995468538000168 
0.655984 63.9408 0.000826287 2.65323e-13 0.809330707530215 0.18984300547005042 
0.963471 69.6519 0.00250234 5.77877e-12 0.8079731046046809 0.18952455540109797 
1.41509 80.5161 0.0092083 1.97869e-10 0.802541277160274 0.18825042303759512 
2.07841 93.285 0.0209725 2.22385e-09 0.7930122768013186 0.18601522542253152 
3.05266 107.793 0.0361085 1.30525e-08 0.780752125572525 0.183139387479975 
4.48357 124.189 0.0397303 2.73372e-07 0.7778186784313201 0.18245129494068002 
6.58521 142.516 0.0397301 5.61209e-06 0.7778231647929001 0.18245234729710003 
9.672 162.845 0.0397276 6.76616e-05 0.7778754498960001 0.18246461170400002 
14.2057 185.268 0.0397101 0.000508125 0.77824640025 0.18255162475 
20.8646 209.89 0.0397015 0.000724928 0.77842897668 0.18259445132 
30.6446 237.035 0.0397015 0.000724929 0.77842897749 0.18259445150999998 
45.0091 267.002 0.0397015 0.000725056 0.7784290803599999 0.18259447563999998 
66.1069 300.14 0.0397001 0.00073875 0.7784413065000001 0.1825973435 
97.094 336.798 0.0396659 0.00114071 0.7787945961 0.1826802139 
142.606 377.263 0.0396489 0.00124851 0.7788956841000001 0.1827039259 
209.452 422.165 0.0396092 0.00124726 0.7789268286000001 0.1827112314 
307.632 471.782 0.0395046 0.00124396 0.7790088816 0.1827304784 
451.833 526.049 0.0393043 0.00123766 0.7791660216000001 0.1827673384 
663.626 584.597 0.0390074 0.00122831 0.7793989371000001 0.1828219729 
974.698 646.963 0.0386357 0.0012166 0.779690529 0.182890371 
