,pressure,wavenumber,opd,w0,g0
0,1,11111.111111111111,0.0,0.0,0.0
1,1,12500.0,0.0,0.0,0.0
2,1,14285.714285714286,0.0,0.0,0.0
3,1,16666.666666666668,0.0,0.0,0.0
4,1,20000.0,0.0,0.0,0.0
5,1,25000.0,0.0,0.0,0.0
6,1,33333.333333333336,0.0,0.0,0.0
7,2,11111.111111111111,0.0,0.0,0.0
8,2,12500.0,0.0,0.0,0.0
9,2,14285.714285714286,0.0,0.0,0.0
10,2,16666.666666666668,0.0,0.0,0.0
11,2,20000.0,0.0,0.0,0.0
12,2,25000.0,0.0,0.0,0.0
13,2,33333.333333333336,0.0,0.0,0.0
14,3,11111.111111111111,0.0,0.0,0.0
15,3,12500.0,0.0,0.0,0.0
16,3,14285.714285714286,0.0,0.0,0.0
17,3,16666.666666666668,0.0,0.0,0.0
18,3,20000.0,0.0,0.0,0.0
19,3,25000.0,0.0,0.0,0.0
20,3,33333.333333333336,0.0,0.0,0.0
21,4,11111.111111111111,0.0,0.0,0.0
22,4,12500.0,0.0,0.0,0.0
23,4,14285.714285714286,0.0,0.0,0.0
24,4,16666.666666666668,0.0,0.0,0.0
25,4,20000.0,0.0,0.0,0.0
26,4,25000.0,0.0,0.0,0.0
27,4,33333.333333333336,0.0,0.0,0.0
28,5,11111.111111111111,0.0,0.0,0.0
29,5,12500.0,0.0,0.0,0.0
30,5,14285.714285714286,0.0,0.0,0.0
31,5,16666.666666666668,0.0,0.0,0.0
32,5,20000.0,0.0,0.0,0.0
33,5,25000.0,0.0,0.0,0.0
34,5,33333.333333333336,0.0,0.0,0.0
35,6,11111.111111111111,0.0,0.0,0.0
36,6,12500.0,0.0,0.0,0.0
37,6,14285.714285714286,0.0,0.0,0.0
38,6,16666.666666666668,0.0,0.0,0.0
39,6,20000.0,0.0,0.0,0.0
40,6,25000.0,0.0,0.0,0.0
41,6,33333.333333333336,0.0,0.0,0.0
42,7,11111.111111111111,0.0,0.0,0.0
43,7,12500.0,0.0,0.0,0.0
44,7,14285.714285714286,0.0,0.0,0.0
45,7,16666.666666666668,0.0,0.0,0.0
46,7,20000.0,0.0,0.0,0.0
47,7,25000.0,0.0,0.0,0.0
48,7,33333.333333333336,0.0,0.0,0.0
49,8,11111.111111111111,0.0,0.0,0.0
50,8,12500.0,0.0,0.0,0.0
51,8,14285.714285714286,0.0,0.0,0.0
52,8,16666.666666666668,0.0,0.0,0.0
53,8,20000.0,0.0,0.0,0.0
54,8,25000.0,0.0,0.0,0.0
55,8,33333.333333333336,0.0,0.0,0.0
56,9,11111.111111111111,0.0,0.0,0.0
57,9,12500.0,0.0,0.0,0.0
58,9,14285.714285714286,0.0,0.0,0.0
59,9,16666.666666666668,0.0,0.0,0.0
60,9,20000.0,0.0,0.0,0.0
61,9,25000.0,0.0,0.0,0.0
62,9,33333.333333333336,0.0,0.0,0.0
63,10,11111.111111111111,0.0,0.0,0.0
64,10,12500.0,0.0,0.0,0.0
65,10,14285.714285714286,0.0,0.0,0.0
66,10,16666.666666666668,0.0,0.0,0.0
67,10,20000.0,0.0,0.0,0.0
68,10,25000.0,0.0,0.0,0.0
69,10,33333.333333333336,0.0,0.0,0.0
70,11,11111.111111111111,0.0,0.0,0.0
71,11,12500.0,0.0,0.0,0.0
72,11,14285.714285714286,0.0,0.0,0.0
73,11,16666.666666666668,0.0,0.0,0.0
74,11,20000.0,0.0,0.0,0.0
75,11,25000.0,0.0,0.0,0.0
76,11,33333.333333333336,0.0,0.0,0.0
77,12,11111.111111111111,0.0,0.0,0.0
78,12,12500.0,0.0,0.0,0.0
79,12,14285.714285714286,0.0,0.0,0.0
80,12,16666.666666666668,0.0,0.0,0.0
81,12,20000.0,0.0,0.0,0.0
82,12,25000.0,0.0,0.0,0.0
83,12,33333.333333333336,0.0,0.0,0.0
84,13,11111.111111111111,0.0,0.0,0.0
85,13,12500.0,0.0,0.0,0.0
86,13,14285.714285714286,0.0,0.0,0.0
87,13,16666.666666666668,0.0,0.0,0.0
88,13,20000.0,0.0,0.0,0.0
89,13,25000.0,0.0,0.0,0.0
90,13,33333.333333333336,0.0,0.0,0.0
91,14,11111.111111111111,0.0,0.0,0.0
92,14,12500.0,0.0,0.0,0.0
93,14,14285.714285714286,0.0,0.0,0.0
94,14,16666.666666666668,0.0,0.0,0.0
95,14,20000.0,0.0,0.0,0.0
96,14,25000.0,0.0,0.0,0.0
97,14,33333.333333333336,0.0,0.0,0.0
98,15,11111.111111111111,0.0,0.0,0.0
99,15,12500.0,0.0,0.0,0.0
100,15,14285.714285714286,0.0,0.0,0.0
101,15,16666.666666666668,0.0,0.0,0.0
102,15,20000.0,0.0,0.0,0.0
103,15,25000.0,0.0,0.0,0.0
104,15,33333.333333333336,0.0,0.0,0.0
105,16,11111.111111111111,0.0,0.0,0.0
106,16,12500.0,0.0,0.0,0.0
107,16,14285.714285714286,0.0,0.0,0.0
108,16,16666.666666666668,0.0,0.0,0.0
109,16,20000.0,0.0,0.0,0.0
110,16,25000.0,0.0,0.0,0.0
111,16,33333.333333333336,0.0,0.0,0.0
112,17,11111.111111111111,0.0,0.0,0.0
113,17,12500.0,0.0,0.0,0.0
114,17,14285.714285714286,0.0,0.0,0.0
115,17,16666.666666666668,0.0,0.0,0.0
116,17,20000.0,0.0,0.0,0.0
117,17,25000.0,0.0,0.0,0.0
118,17,33333.333333333336,0.0,0.0,0.0
119,18,11111.111111111111,0.0,0.0,0.0
120,18,12500.0,0.0,0.0,0.0
121,18,14285.714285714286,0.0,0.0,0.0
122,18,16666.666666666668,0.0,0.0,0.0
123,18,20000.0,0.0,0.0,0.0
124,18,25000.0,0.0,0.0,0.0
125,18,33333.333333333336,0.0,0.0,0.0
126,19,11111.111111111111,0.0,0.0,0.0
127,19,12500.0,0.0,0.0,0.0
128,19,14285.714285714286,0.0,0.0,0.0
129,19,16666.666666666668,0.0,0.0,0.0
130,19,20000.0,0.0,0.0,0.0
131,19,25000.0,0.0,0.0,0.0
132,19,33333.333333333336,0.0,0.0,0.0
133,20,11111.111111111111,0.0,0.0,0.0
134,20,12500.0,0.0,0.0,0.0
135,20,14285.714285714286,0.0,0.0,0.0
136,20,16666.666666666668,0.0,0.0,0.0
137,20,20000.0,0.0,0.0,0.0
138,20,25000.0,0.0,0.0,0.0
139,20,33333.333333333336,0.0,0.0,0.0
140,21,11111.111111111111,0.0,0.0,0.0
141,21,12500.0,0.0,0.0,0.0
142,21,14285.714285714286,0.0,0.0,0.0
143,21,16666.666666666668,0.0,0.0,0.0
144,21,20000.0,0.0,0.0,0.0
145,21,25000.0,0.0,0.0,0.0
146,21,33333.333333333336,0.0,0.0,0.0
147,22,11111.111111111111,0.0,0.0,0.0
148,22,12500.0,0.0,0.0,0.0
149,22,14285.714285714286,0.0,0.0,0.0
150,22,16666.666666666668,0.0,0.0,0.0
151,22,20000.0,0.0,0.0,0.0
152,22,25000.0,0.0,0.0,0.0
153,22,33333.333333333336,0.0,0.0,0.0
154,23,11111.111111111111,0.0,0.0,0.0
155,23,12500.0,0.0,0.0,0.0
156,23,14285.714285714286,0.0,0.0,0.0
157,23,16666.666666666668,0.0,0.0,0.0
158,23,20000.0,0.0,0.0,0.0
159,23,25000.0,0.0,0.0,0.0
160,23,33333.333333333336,0.0,0.0,0.0
161,24,11111.111111111111,0.0,0.0,0.0
162,24,12500.0,0.0,0.0,0.0
163,24,14285.714285714286,0.0,0.0,0.0
164,24,16666.666666666668,0.0,0.0,0.0
165,24,20000.0,0.0,0.0,0.0
166,24,25000.0,0.0,0.0,0.0
167,24,33333.333333333336,0.0,0.0,0.0
168,25,11111.111111111111,0.0,0.0,0.0
169,25,12500.0,0.0,0.0,0.0
170,25,14285.714285714286,0.0,0.0,0.0
171,25,16666.666666666668,0.0,0.0,0.0
172,25,20000.0,0.0,0.0,0.0
173,25,25000.0,0.0,0.0,0.0
174,25,33333.333333333336,0.0,0.0,0.0
175,26,11111.111111111111,0.0,0.0,0.0
176,26,12500.0,0.0,0.0,0.0
177,26,14285.714285714286,0.0,0.0,0.0
178,26,16666.666666666668,0.0,0.0,0.0
179,26,20000.0,0.0,0.0,0.0
180,26,25000.0,0.0,0.0,0.0
181,26,33333.333333333336,0.0,0.0,0.0
182,27,11111.111111111111,0.0,0.0,0.0
183,27,12500.0,0.0,0.0,0.0
184,27,14285.714285714286,0.0,0.0,0.0
185,27,16666.666666666668,0.0,0.0,0.0
186,27,20000.0,0.0,0.0,0.0
187,27,25000.0,0.0,0.0,0.0
188,27,33333.333333333336,0.0,0.0,0.0
189,28,11111.111111111111,0.0,0.0,0.0
190,28,12500.0,0.0,0.0,0.0
191,28,14285.714285714286,0.0,0.0,0.0
192,28,16666.666666666668,0.0,0.0,0.0
193,28,20000.0,0.0,0.0,0.0
194,28,25000.0,0.0,0.0,0.0
195,28,33333.333333333336,0.0,0.0,0.0
196,29,11111.111111111111,0.0,0.0,0.0
197,29,12500.0,0.0,0.0,0.0
198,29,14285.714285714286,0.0,0.0,0.0
199,29,16666.666666666668,0.0,0.0,0.0
200,29,20000.0,0.0,0.0,0.0
201,29,25000.0,0.0,0.0,0.0
202,29,33333.333333333336,0.0,0.0,0.0
203,30,11111.111111111111,0.0,0.0,0.0
204,30,12500.0,0.0,0.0,0.0
205,30,14285.714285714286,0.0,0.0,0.0
206,30,16666.666666666668,0.0,0.0,0.0
207,30,20000.0,0.0,0.0,0.0
208,30,25000.0,0.0,0.0,0.0
209,30,33333.333333333336,0.0,0.0,0.0
210,31,11111.111111111111,0.0,0.0,0.0
211,31,12500.0,0.0,0.0,0.0
212,31,14285.714285714286,0.0,0.0,0.0
213,31,16666.666666666668,0.0,0.0,0.0
214,31,20000.0,0.0,0.0,0.0
215,31,25000.0,0.0,0.0,0.0
