,pressure,wavenumber,opd,w0,g0
0,1,10000.0,0.0,0.0,0.0
1,1,11111.111111111111,0.0,0.0,0.0
2,1,12500.0,0.0,0.0,0.0
3,1,14285.714285714286,0.0,0.0,0.0
4,1,16666.666666666668,0.0,0.0,0.0
5,1,20000.0,0.0,0.0,0.0
6,1,25000.0,0.0,0.0,0.0
7,1,33333.333333333336,0.0,0.0,0.0
8,2,10000.0,0.0,0.0,0.0
9,2,11111.111111111111,0.0,0.0,0.0
10,2,12500.0,0.0,0.0,0.0
11,2,14285.714285714286,0.0,0.0,0.0
12,2,16666.666666666668,0.0,0.0,0.0
13,2,20000.0,0.0,0.0,0.0
14,2,25000.0,0.0,0.0,0.0
15,2,33333.333333333336,0.0,0.0,0.0
16,3,10000.0,0.0,0.0,0.0
17,3,11111.111111111111,0.0,0.0,0.0
18,3,12500.0,0.0,0.0,0.0
19,3,14285.714285714286,0.0,0.0,0.0
20,3,16666.666666666668,0.0,0.0,0.0
21,3,20000.0,0.0,0.0,0.0
22,3,25000.0,0.0,0.0,0.0
23,3,33333.333333333336,0.0,0.0,0.0
24,4,10000.0,0.0,0.0,0.0
25,4,11111.111111111111,0.0,0.0,0.0
26,4,12500.0,0.0,0.0,0.0
27,4,14285.714285714286,0.0,0.0,0.0
28,4,16666.666666666668,0.0,0.0,0.0
29,4,20000.0,0.0,0.0,0.0
30,4,25000.0,0.0,0.0,0.0
31,4,33333.333333333336,0.0,0.0,0.0
32,5,10000.0,0.0,0.0,0.0
33,5,11111.111111111111,0.0,0.0,0.0
34,5,12500.0,0.0,0.0,0.0
35,5,14285.714285714286,0.0,0.0,0.0
36,5,16666.666666666668,0.0,0.0,0.0
37,5,20000.0,0.0,0.0,0.0
38,5,25000.0,0.0,0.0,0.0
39,5,33333.333333333336,0.0,0.0,0.0
40,6,10000.0,0.0,0.0,0.0
41,6,11111.111111111111,0.0,0.0,0.0
42,6,12500.0,0.0,0.0,0.0
43,6,14285.714285714286,0.0,0.0,0.0
44,6,16666.666666666668,0.0,0.0,0.0
45,6,20000.0,0.0,0.0,0.0
46,6,25000.0,0.0,0.0,0.0
47,6,33333.333333333336,0.0,0.0,0.0
48,7,10000.0,0.0,0.0,0.0
49,7,11111.111111111111,0.0,0.0,0.0
50,7,12500.0,0.0,0.0,0.0
51,7,14285.714285714286,0.0,0.0,0.0
52,7,16666.666666666668,0.0,0.0,0.0
53,7,20000.0,0.0,0.0,0.0
54,7,25000.0,0.0,0.0,0.0
55,7,33333.333333333336,0.0,0.0,0.0
56,8,10000.0,0.0,0.0,0.0
57,8,11111.111111111111,0.0,0.0,0.0
58,8,12500.0,0.0,0.0,0.0
59,8,14285.714285714286,0.0,0.0,0.0
60,8,16666.666666666668,0.0,0.0,0.0
61,8,20000.0,0.0,0.0,0.0
62,8,25000.0,0.0,0.0,0.0
63,8,33333.333333333336,0.0,0.0,0.0
64,9,10000.0,0.0,0.0,0.0
65,9,11111.111111111111,0.0,0.0,0.0
66,9,12500.0,0.0,0.0,0.0
67,9,14285.714285714286,0.0,0.0,0.0
68,9,16666.666666666668,0.0,0.0,0.0
69,9,20000.0,0.0,0.0,0.0
70,9,25000.0,0.0,0.0,0.0
71,9,33333.333333333336,0.0,0.0,0.0
72,10,10000.0,0.0,0.0,0.0
73,10,11111.111111111111,0.0,0.0,0.0
74,10,12500.0,0.0,0.0,0.0
75,10,14285.714285714286,0.0,0.0,0.0
76,10,16666.666666666668,0.0,0.0,0.0
77,10,20000.0,0.0,0.0,0.0
78,10,25000.0,0.0,0.0,0.0
79,10,33333.333333333336,0.0,0.0,0.0
80,11,10000.0,0.0,0.0,0.0
81,11,11111.111111111111,0.0,0.0,0.0
82,11,12500.0,0.0,0.0,0.0
83,11,14285.714285714286,0.0,0.0,0.0
84,11,16666.666666666668,0.0,0.0,0.0
85,11,20000.0,0.0,0.0,0.0
86,11,25000.0,0.0,0.0,0.0
87,11,33333.333333333336,0.0,0.0,0.0
88,12,10000.0,0.0,0.0,0.0
89,12,11111.111111111111,0.0,0.0,0.0
90,12,12500.0,0.0,0.0,0.0
91,12,14285.714285714286,0.0,0.0,0.0
92,12,16666.666666666668,0.0,0.0,0.0
93,12,20000.0,0.0,0.0,0.0
94,12,25000.0,0.0,0.0,0.0
95,12,33333.333333333336,0.0,0.0,0.0
96,13,10000.0,0.0,0.0,0.0
97,13,11111.111111111111,0.0,0.0,0.0
98,13,12500.0,0.0,0.0,0.0
99,13,14285.714285714286,0.0,0.0,0.0
100,13,16666.666666666668,0.0,0.0,0.0
101,13,20000.0,0.0,0.0,0.0
102,13,25000.0,0.0,0.0,0.0
103,13,33333.333333333336,0.0,0.0,0.0
104,14,10000.0,0.0,0.0,0.0
105,14,11111.111111111111,0.0,0.0,0.0
106,14,12500.0,0.0,0.0,0.0
107,14,14285.714285714286,0.0,0.0,0.0
108,14,16666.666666666668,0.0,0.0,0.0
109,14,20000.0,0.0,0.0,0.0
110,14,25000.0,0.0,0.0,0.0
111,14,33333.333333333336,0.0,0.0,0.0
112,15,10000.0,0.0,0.0,0.0
113,15,11111.111111111111,0.0,0.0,0.0
114,15,12500.0,0.0,0.0,0.0
115,15,14285.714285714286,0.0,0.0,0.0
116,15,16666.666666666668,0.0,0.0,0.0
117,15,20000.0,0.0,0.0,0.0
118,15,25000.0,0.0,0.0,0.0
119,15,33333.333333333336,0.0,0.0,0.0
120,16,10000.0,0.0,0.0,0.0
121,16,11111.111111111111,0.0,0.0,0.0
122,16,12500.0,0.0,0.0,0.0
123,16,14285.714285714286,0.0,0.0,0.0
124,16,16666.666666666668,0.0,0.0,0.0
125,16,20000.0,0.0,0.0,0.0
126,16,25000.0,0.0,0.0,0.0
127,16,33333.333333333336,0.0,0.0,0.0
128,17,10000.0,0.0,0.0,0.0
129,17,11111.111111111111,0.0,0.0,0.0
130,17,12500.0,0.0,0.0,0.0
131,17,14285.714285714286,0.0,0.0,0.0
132,17,16666.666666666668,0.0,0.0,0.0
133,17,20000.0,0.0,0.0,0.0
134,17,25000.0,0.0,0.0,0.0
135,17,33333.333333333336,0.0,0.0,0.0
136,18,10000.0,0.0,0.0,0.0
137,18,11111.111111111111,0.0,0.0,0.0
138,18,12500.0,0.0,0.0,0.0
139,18,14285.714285714286,0.0,0.0,0.0
140,18,16666.666666666668,0.0,0.0,0.0
141,18,20000.0,0.0,0.0,0.0
142,18,25000.0,0.0,0.0,0.0
143,18,33333.333333333336,0.0,0.0,0.0
144,19,10000.0,0.0,0.0,0.0
145,19,11111.111111111111,0.0,0.0,0.0
146,19,12500.0,0.0,0.0,0.0
147,19,14285.714285714286,0.0,0.0,0.0
148,19,16666.666666666668,0.0,0.0,0.0
149,19,20000.0,0.0,0.0,0.0
150,19,25000.0,0.0,0.0,0.0
151,19,33333.333333333336,0.0,0.0,0.0
152,20,10000.0,0.0,0.0,0.0
153,20,11111.111111111111,0.0,0.0,0.0
154,20,12500.0,0.0,0.0,0.0
155,20,14285.714285714286,0.0,0.0,0.0
156,20,16666.666666666668,0.0,0.0,0.0
157,20,20000.0,0.0,0.0,0.0
158,20,25000.0,0.0,0.0,0.0
159,20,33333.333333333336,0.0,0.0,0.0
160,21,10000.0,0.0,0.0,0.0
161,21,11111.111111111111,0.0,0.0,0.0
162,21,12500.0,0.0,0.0,0.0
163,21,14285.714285714286,0.0,0.0,0.0
164,21,16666.666666666668,0.0,0.0,0.0
165,21,20000.0,0.0,0.0,0.0
166,21,25000.0,0.0,0.0,0.0
167,21,33333.333333333336,0.0,0.0,0.0
168,22,10000.0,0.0,0.0,0.0
169,22,11111.111111111111,0.0,0.0,0.0
170,22,12500.0,0.0,0.0,0.0
171,22,14285.714285714286,0.0,0.0,0.0
172,22,16666.666666666668,0.0,0.0,0.0
173,22,20000.0,0.0,0.0,0.0
174,22,25000.0,0.0,0.0,0.0
175,22,33333.333333333336,0.0,0.0,0.0
176,23,10000.0,0.0,0.0,0.0
177,23,11111.111111111111,0.0,0.0,0.0
178,23,12500.0,0.0,0.0,0.0
179,23,14285.714285714286,0.0,0.0,0.0
180,23,16666.666666666668,0.0,0.0,0.0
181,23,20000.0,0.0,0.0,0.0
182,23,25000.0,0.0,0.0,0.0
183,23,33333.333333333336,0.0,0.0,0.0
184,24,10000.0,0.0,0.0,0.0
185,24,11111.111111111111,0.0,0.0,0.0
186,24,12500.0,0.0,0.0,0.0
187,24,14285.714285714286,0.0,0.0,0.0
188,24,16666.666666666668,0.0,0.0,0.0
189,24,20000.0,0.0,0.0,0.0
190,24,25000.0,0.0,0.0,0.0
